               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  30,            0.066298,            0.028071,           0.0057505,             0.73784,             0.66667,             0.75175,             0.34333,            0.066813,            0.019444,           0.0025489,            0.041477,           0.0024766,           0.0024766
                  31,            0.063862,            0.027577,            0.005561,               0.703,             0.66667,             0.78421,              0.3757,            0.065049,             0.01905,           0.0024309,            0.039433,           0.0024331,           0.0024331
                  32,            0.064859,            0.032548,           0.0064655,             0.81709,             0.66667,             0.83327,              0.4369,            0.062806,            0.018881,           0.0023087,            0.037382,           0.0023816,           0.0023816
                  33,            0.060884,            0.031827,           0.0063009,             0.81709,             0.66667,             0.83327,              0.4369,            0.062806,            0.018881,           0.0023087,            0.035322,           0.0023222,           0.0023222
                  34,            0.063601,            0.036805,           0.0059302,             0.84896,              0.6609,             0.79429,             0.40211,            0.056597,            0.018856,           0.0022675,            0.033255,           0.0022549,           0.0022549
                  35,            0.056906,            0.027786,           0.0040934,             0.63255,             0.62651,             0.66557,             0.39987,            0.058442,            0.018651,            0.002152,             0.03118,           0.0021797,           0.0021797
                  36,              0.0572,            0.027361,           0.0035135,             0.63255,             0.62651,             0.66557,             0.39987,            0.058442,            0.018651,            0.002152,            0.029097,           0.0020966,           0.0020966
                  37,            0.059984,            0.026592,           0.0046111,             0.88246,             0.56761,              0.8042,             0.39289,             0.06048,            0.018284,           0.0020762,            0.027006,           0.0020055,           0.0020055
                  38,            0.064684,            0.030328,           0.0042762,             0.56816,             0.83333,             0.73228,             0.34406,            0.053484,             0.01817,           0.0019962,            0.024907,           0.0019065,           0.0019065
                  39,            0.055523,              0.0259,           0.0042446,             0.56816,             0.83333,             0.73228,             0.34406,            0.053484,             0.01817,           0.0019962,              0.0228,           0.0017996,           0.0017996
                  40,            0.054499,            0.030501,           0.0040166,             0.46868,             0.83333,             0.66544,              0.3324,            0.059721,            0.017815,           0.0019265,            0.020685,           0.0016848,           0.0016848
                  41,            0.060711,            0.028849,           0.0044186,             0.59883,             0.83333,             0.76115,             0.40838,            0.052864,            0.017534,           0.0018814,            0.018562,           0.0015621,           0.0015621
                  42,            0.054537,            0.032933,           0.0047447,             0.59883,             0.83333,             0.76115,             0.40838,            0.052864,            0.017534,           0.0018814,            0.016431,           0.0014314,           0.0014314
                  43,            0.053824,            0.026979,           0.0056815,             0.55925,             0.83333,              0.7224,             0.31331,            0.055583,            0.017279,           0.0018807,            0.014293,           0.0012928,           0.0012928
                  44,            0.050238,            0.023741,           0.0038253,             0.55925,             0.83333,              0.7224,             0.31331,            0.055583,            0.017279,           0.0018807,            0.012146,           0.0011463,           0.0011463
                  45,            0.052983,            0.026628,           0.0040714,             0.67791,             0.83333,             0.77059,              0.4896,            0.049177,            0.017105,           0.0018742,           0.0099919,           0.0009919,           0.0009919
                  46,            0.052719,            0.025523,           0.0044128,             0.67791,             0.83333,             0.77059,              0.4896,            0.049177,            0.017105,           0.0018742,           0.0078296,          0.00082956,          0.00082956
                  47,             0.04745,            0.025078,           0.0028473,             0.68552,             0.83333,             0.80327,             0.47012,            0.050786,            0.016765,           0.0018811,           0.0056593,           0.0006593,           0.0006593
                  48,             0.04805,             0.02569,           0.0033687,             0.68552,             0.83333,             0.80327,             0.47012,            0.050786,            0.016765,           0.0018811,           0.0034811,          0.00048112,          0.00048112
                  49,            0.050807,            0.029542,           0.0030904,             0.72877,             0.83333,             0.81137,             0.51422,             0.04833,            0.016665,           0.0019337,            0.001295,          0.00029502,          0.00029502
                   0,             0.12168,            0.036007,            0.027231,                   0,                   0,                   0,                   0,             0.12296,            0.030302,            0.028359,              0.0991,              0.0001,              0.0001
                   1,             0.11789,            0.032497,            0.029547,          0.00073746,            0.083333,          0.00044463,          0.00026678,             0.12135,             0.02998,            0.027996,            0.097294,          0.00029406,          0.00029406
                   2,             0.11929,              0.0359,            0.026897,          0.00074516,            0.083333,          0.00049383,           0.0002963,             0.11809,            0.029798,            0.027297,             0.09548,           0.0004802,           0.0004802
                   3,             0.11626,            0.034166,             0.02618,           0.0016877,             0.16667,           0.0020841,          0.00067735,             0.11366,            0.029706,            0.026395,            0.093658,          0.00065842,          0.00065842
                   4,             0.11122,             0.03353,            0.025763,           0.0025623,             0.33333,           0.0034598,          0.00090249,             0.10782,            0.029717,             0.02504,            0.091829,          0.00082872,          0.00082872
                   5,              0.1057,            0.034964,            0.025379,           0.0034101,             0.41667,           0.0031957,           0.0012236,             0.10111,            0.029983,            0.023515,            0.089991,           0.0009911,           0.0009911
                   6,              0.1076,            0.039938,            0.025319,           0.0046427,             0.58333,            0.006168,           0.0013954,             0.09548,             0.03008,            0.021781,            0.088146,           0.0011456,           0.0011456
                   7,             0.10231,            0.035436,             0.02341,            0.004727,             0.58333,           0.0070788,           0.0020152,            0.091748,            0.029852,            0.019967,            0.086292,           0.0012921,           0.0012921
                   8,            0.096559,             0.03389,            0.019982,           0.0053544,             0.66667,            0.011959,           0.0026745,            0.089384,            0.029811,            0.018809,            0.084431,           0.0014307,           0.0014307
                   9,             0.09355,            0.031268,             0.01866,           0.0050231,                0.75,             0.01347,           0.0031592,            0.086125,            0.030014,            0.017848,            0.082561,           0.0015614,           0.0015614
                  10,            0.094896,            0.039533,            0.020639,           0.0050123,                0.75,            0.025596,           0.0057525,            0.084607,            0.029793,            0.016715,            0.080684,           0.0016842,           0.0016842
                  11,            0.092708,            0.038818,            0.019816,           0.0055439,             0.83333,            0.038516,            0.011894,            0.082811,            0.029393,            0.015511,            0.078799,           0.0017991,           0.0017991
                  12,            0.092109,            0.038722,            0.018958,           0.0055386,             0.83333,            0.068387,            0.024029,             0.08112,            0.029042,            0.014311,            0.076906,            0.001906,            0.001906
                  13,            0.088462,              0.0376,             0.01782,           0.0055199,             0.83333,              0.1517,             0.05572,            0.079546,            0.028687,            0.013475,            0.075005,            0.002005,            0.002005
                  14,            0.090146,            0.047721,            0.017015,           0.0055185,             0.83333,             0.31829,             0.11321,            0.077377,            0.028529,            0.012429,            0.073096,           0.0020961,           0.0020961
                  15,            0.086346,            0.038478,            0.015532,             0.14774,             0.66667,             0.45278,             0.16763,            0.076641,            0.027863,            0.011445,            0.071179,           0.0021793,           0.0021793
                  16,            0.081553,            0.038463,             0.01501,             0.24649,             0.66667,             0.54162,             0.18926,            0.073719,            0.027848,            0.010462,            0.069255,           0.0022546,           0.0022546
                  17,             0.07146,            0.037378,            0.011869,             0.32291,             0.58333,             0.56342,             0.21712,            0.071161,            0.027634,           0.0094134,            0.067322,           0.0023219,           0.0023219
                  18,             0.07276,            0.029896,            0.010755,             0.42185,             0.49085,             0.59718,             0.24653,            0.069942,            0.027111,           0.0081786,            0.065381,           0.0023813,           0.0023813
                  19,            0.078873,            0.036276,            0.012281,             0.50974,                 0.5,             0.60678,             0.27045,            0.068678,            0.026434,           0.0072813,            0.063433,           0.0024328,           0.0024328
                  20,            0.076844,            0.045448,            0.010788,             0.51857,                 0.5,             0.62526,             0.26062,            0.066297,            0.026045,           0.0063629,            0.061476,           0.0024764,           0.0024764
                  21,            0.075211,            0.037023,            0.011454,             0.58257,             0.58114,             0.70386,             0.28802,            0.065987,            0.025046,           0.0056159,            0.059512,           0.0025121,           0.0025121
