               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  40,            0.028983,            0.028954,           0.0096847,             0.90318,             0.90039,             0.92862,             0.67653,            0.026947,            0.016302,            0.011461,            0.002278,            0.002278,            0.002278
                  41,            0.028162,            0.028615,           0.0095833,             0.90731,             0.89724,             0.92964,             0.68525,            0.026435,            0.016201,            0.011172,             0.00208,             0.00208,             0.00208
                  42,            0.027719,            0.029178,           0.0090464,             0.91704,             0.88704,             0.92848,              0.6914,            0.025883,            0.016148,             0.01125,            0.001882,            0.001882,            0.001882
                  43,            0.027093,            0.028132,           0.0092877,             0.91602,             0.88202,             0.92897,             0.69414,            0.025839,             0.01631,             0.01143,            0.001684,            0.001684,            0.001684
                  44,            0.026304,            0.027675,           0.0090954,             0.91321,             0.88619,             0.92608,             0.68658,            0.025929,            0.016329,            0.011296,            0.001486,            0.001486,            0.001486
                  45,            0.026484,            0.029936,           0.0088833,             0.90675,             0.88558,             0.92976,             0.69939,            0.025082,            0.016207,            0.011225,            0.001288,            0.001288,            0.001288
                  46,            0.025514,            0.026889,           0.0086615,             0.90186,              0.9018,             0.93092,             0.69427,            0.025126,            0.016235,            0.010814,             0.00109,             0.00109,             0.00109
                  47,            0.025196,            0.028457,           0.0084582,             0.88638,             0.90522,             0.93062,             0.70126,            0.024866,            0.016048,            0.010527,            0.000892,            0.000892,            0.000892
                  48,            0.025589,            0.027078,            0.008802,             0.91983,             0.87702,             0.93078,             0.71096,            0.024557,             0.01597,            0.010777,            0.000694,            0.000694,            0.000694
                  49,            0.024862,            0.028211,           0.0084895,             0.90959,              0.9017,             0.93137,             0.71276,            0.024372,            0.015932,              0.0109,            0.000496,            0.000496,            0.000496
                   0,             0.11058,            0.051275,            0.065928,           0.0057165,             0.42938,            0.025226,           0.0077499,            0.086484,            0.036301,            0.060318,               0.073,               0.003,               0.003
                   1,            0.080479,            0.052494,            0.056935,             0.10412,             0.43158,            0.083966,            0.026191,            0.078817,            0.033739,            0.050526,             0.04504,           0.0060396,           0.0060396
                   2,            0.073628,            0.041307,            0.051854,            0.078726,             0.36609,              0.1186,            0.037089,            0.082232,            0.024878,            0.046387,            0.017018,           0.0090178,           0.0090178
                   3,            0.072809,            0.036749,            0.047496,             0.28311,             0.32837,             0.22333,            0.095254,            0.064541,            0.019411,            0.042545,            0.009703,            0.009703,            0.009703
                   4,            0.062335,            0.031525,            0.045007,             0.31475,             0.47879,              0.3411,             0.12294,            0.056336,            0.018358,            0.039604,            0.009703,            0.009703,            0.009703
                   5,            0.057279,            0.031352,            0.042163,             0.40559,             0.50852,             0.39092,              0.1697,            0.049473,            0.017721,            0.036945,            0.009604,            0.009604,            0.009604
                   6,             0.05187,            0.030118,            0.039129,             0.54617,             0.55012,             0.48181,             0.22222,            0.050964,            0.017973,            0.033056,            0.009505,            0.009505,            0.009505
                   7,            0.051235,            0.031734,            0.035641,             0.60115,             0.60328,             0.60385,             0.30629,            0.043162,             0.01721,             0.03002,            0.009406,            0.009406,            0.009406
                   8,            0.048131,            0.029102,            0.031926,             0.64448,             0.56257,             0.61099,             0.31395,            0.047602,            0.016384,            0.026455,            0.009307,            0.009307,            0.009307
                   9,            0.045813,            0.028505,            0.028257,             0.73357,             0.63459,             0.73906,              0.4314,            0.037679,            0.016289,            0.023991,            0.009208,            0.009208,            0.009208
                  10,            0.045425,            0.028665,            0.024746,             0.64391,             0.75741,             0.76142,             0.44082,            0.038982,            0.015741,            0.020645,            0.009109,            0.009109,            0.009109
                  11,            0.043872,            0.027292,            0.022468,             0.74669,             0.78169,              0.8035,             0.49556,            0.039255,            0.015615,            0.018101,             0.00901,             0.00901,             0.00901
                  12,            0.042487,            0.026558,            0.020119,             0.63175,             0.76869,             0.74916,             0.43982,            0.040106,            0.015837,             0.01651,            0.008911,            0.008911,            0.008911
                  13,            0.041536,             0.02829,            0.017855,             0.74375,             0.78333,             0.80256,             0.48774,            0.040857,            0.015893,            0.014776,            0.008812,            0.008812,            0.008812
                  14,            0.041833,            0.025064,            0.016345,             0.76663,             0.80224,             0.84189,             0.50163,            0.037148,            0.016218,            0.013627,            0.008713,            0.008713,            0.008713
                  15,            0.041258,             0.02687,             0.01515,             0.83123,             0.80212,             0.86759,             0.54396,            0.036979,            0.015934,            0.012928,            0.008614,            0.008614,            0.008614
                  16,            0.040282,            0.025762,            0.014028,             0.83486,             0.84423,             0.87123,             0.54609,            0.035036,            0.015388,              0.0121,            0.008515,            0.008515,            0.008515
                  17,            0.039031,             0.02683,            0.013024,             0.88149,             0.80397,             0.89265,             0.60502,            0.035144,             0.01531,            0.011682,            0.008416,            0.008416,            0.008416
                  18,            0.037185,            0.025867,            0.012221,             0.78128,             0.87197,             0.87267,             0.59237,            0.034419,            0.015265,            0.010947,            0.008317,            0.008317,            0.008317
                  19,            0.037053,            0.024699,            0.011489,             0.74899,             0.85682,             0.85225,             0.57093,            0.034649,            0.015268,            0.010345,            0.008218,            0.008218,            0.008218
                  20,            0.036651,            0.025548,            0.010747,             0.84954,             0.91269,             0.92547,             0.60964,            0.033076,            0.014994,            0.010466,            0.008119,            0.008119,            0.008119
                  21,            0.036843,            0.024374,           0.0097195,             0.89881,             0.86696,             0.90824,              0.5974,            0.034681,            0.015579,             0.01014,             0.00802,             0.00802,             0.00802
                  22,            0.035729,            0.024355,           0.0090758,              0.8116,             0.85225,             0.85521,             0.56848,            0.035608,            0.015711,           0.0098677,            0.007921,            0.007921,            0.007921
                  23,            0.035519,            0.023729,            0.009192,             0.87688,             0.86239,             0.90644,             0.60969,            0.032861,            0.015353,            0.009758,            0.007822,            0.007822,            0.007822
                  24,            0.035719,            0.024235,           0.0088878,             0.90978,             0.87914,             0.91279,             0.63617,            0.030671,            0.014937,           0.0095329,            0.007723,            0.007723,            0.007723
                  25,             0.03489,            0.024736,           0.0086804,             0.87596,             0.89333,             0.90928,             0.60886,             0.03302,            0.015409,           0.0091295,            0.007624,            0.007624,            0.007624
                  26,            0.034621,            0.024032,           0.0080064,             0.89109,              0.8742,             0.91414,              0.6265,             0.03374,            0.015381,           0.0097284,            0.007525,            0.007525,            0.007525
                  27,            0.034432,            0.023988,           0.0082081,              0.8773,             0.88297,               0.903,             0.62522,             0.03189,            0.015062,           0.0096121,            0.007426,            0.007426,            0.007426
                  28,            0.033846,            0.023259,           0.0081874,             0.89594,             0.85421,             0.91926,             0.65749,            0.029918,              0.0149,           0.0091763,            0.007327,            0.007327,            0.007327
                  29,            0.034257,            0.024412,           0.0076105,             0.92038,              0.8624,             0.91899,             0.63464,            0.032124,            0.014936,           0.0090351,            0.007228,            0.007228,            0.007228
